"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\battle-area\page.tsx", "TypeScript JSX", 0, 1, 0, 1, 2
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\types\types.ts", "TypeScript", 5, 0, 0, 0, 5
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\app\utils\soundFunc.ts", "TypeScript", 4, 0, 0, 0, 4
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\ChatModal.tsx", "TypeScript JSX", 0, 2, 0, -1, 1
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\PlayerCard.tsx", "TypeScript JSX", 0, 0, -1, 0, -1
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\Profile\ProfileHeader.tsx", "TypeScript JSX", 0, 0, -1, -2, -3
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\StartButton.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\allPlayers\AllPlayers.tsx", "TypeScript JSX", 0, 11, 0, -2, 9
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\globalChat\GlobalChat.tsx", "TypeScript JSX", 0, 2, 0, 1, 3
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\homepage\home\HomeHeader.tsx", "TypeScript JSX", 0, 29, 8, 3, 40
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\homepage\home\Homepage.tsx", "TypeScript JSX", 0, 27, 3, 1, 31
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\login\Login.tsx", "TypeScript JSX", 0, 5, -232, -46, -273
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\possible\Possible.tsx", "TypeScript JSX", 0, 16, -13, 0, 3
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\signup\SignUp.tsx", "TypeScript JSX", 0, 18, -89, -17, -88
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\userChats\UserChatField.tsx", "TypeScript JSX", 0, 3, -1, 2, 4
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\components\userChats\UserChats.tsx", "TypeScript JSX", 0, 104, 8, 6, 118
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\hooks\useCountDown.tsx", "TypeScript JSX", 0, 37, 0, 11, 48
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\hooks\useIndexDb.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\lib\features\PlayerSlice.ts", "TypeScript", 6, 0, 0, 0, 6
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\lib\features\userSlice.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\DELL\OneDrive\Documents\Next Js Projects\x_and_o\tictactoe\tailwind.config.ts", "TypeScript", 1, 0, 0, -1, 0
"Total", "-", 17, 257, -318, -44, -88